STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,GEO_AREA,Geographical area,AGE,Age,SEX,Sex,EDUCATION_LEVEL,Education level,INCOME_GROUP,Income group,EMP_STATUS,Employment status,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,UNIT_MULT,Unit multiplier,TIME_HORIZON_USE,Time horizon,DECIMALS,Decimals,BREAKDOWN_V7_HH,V7 Breakdowns households
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,KOR,Korea,A,Annual,D1B_I,Individuals using the internet for accessing social networking sites - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,_T,Total,ME,Middle level of educational attainment,_T,Total,_T,Total,2021,,63.3531803,,A,Normal value,,,,,0,Units,,,2,Two,I_ME,Individuals aged 16-74 with a middle level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,KOR,Korea,A,Annual,D1B_I,Individuals using the internet for accessing social networking sites - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,_T,Total,ME,Middle level of educational attainment,_T,Total,_T,Total,2022,,62.72076181,,A,Normal value,,,,,0,Units,,,2,Two,I_ME,Individuals aged 16-74 with a middle level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,KOR,Korea,A,Annual,D1B_I,Individuals using the internet for accessing social networking sites - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,_T,Total,LO,Low level of educational attainment,_T,Total,_T,Total,2022,,37.16653614,,A,Normal value,,,,,0,Units,,,2,Two,I_LO,Individuals aged 16-74 with no or a low level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,KOR,Korea,A,Annual,D1B_I,Individuals using the internet for accessing social networking sites - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,_T,Total,LO,Low level of educational attainment,_T,Total,_T,Total,2021,,40.37843579,,A,Normal value,,,,,0,Units,,,2,Two,I_LO,Individuals aged 16-74 with no or a low level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,KOR,Korea,A,Annual,D1B_I,Individuals using the internet for accessing social networking sites - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,_T,Total,LO,Low level of educational attainment,_T,Total,_T,Total,2024,,41.72439821666416,,A,Normal value,,,,,0,Units,,,2,Two,I_LO,Individuals aged 16-74 with no or a low level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,KOR,Korea,A,Annual,D1B_I,Individuals using the internet for accessing social networking sites - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,_T,Total,LO,Low level of educational attainment,_T,Total,_T,Total,2023,,40.32797762,,A,Normal value,,,,,0,Units,,,2,Two,I_LO,Individuals aged 16-74 with no or a low level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,KOR,Korea,A,Annual,D1B_I,Individuals using the internet for accessing social networking sites - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,M,Male,LO,Low level of educational attainment,_T,Total,_T,Total,2022,,39.47078251,,A,Normal value,,,,,0,Units,,,2,Two,M_LO,Male aged 16-74 with no or a low level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,KOR,Korea,A,Annual,D1B_I,Individuals using the internet for accessing social networking sites - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,M,Male,LO,Low level of educational attainment,_T,Total,_T,Total,2021,,44.31108386,,A,Normal value,,,,,0,Units,,,2,Two,M_LO,Male aged 16-74 with no or a low level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,KOR,Korea,A,Annual,D1B_I,Individuals using the internet for accessing social networking sites - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,M,Male,LO,Low level of educational attainment,_T,Total,_T,Total,2024,,46.12930192979999,,A,Normal value,,,,,0,Units,,,2,Two,M_LO,Male aged 16-74 with no or a low level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,KOR,Korea,A,Annual,D1B_I,Individuals using the internet for accessing social networking sites - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,M,Male,LO,Low level of educational attainment,_T,Total,_T,Total,2023,,47.85396042,,A,Normal value,,,,,0,Units,,,2,Two,M_LO,Male aged 16-74 with no or a low level of educational attainment
